"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"William Kang",8,435,2,15,"N",1,"Win","Y","Marlon Prudencio",356,79,2,0,0,1,1,4,"N",8,21,8,2,143
"Martin Teo",8,430,10,16,"N",1,"Win","Y","Shim Yen Nee",305,125,2,0,1,0,0,3,"N",10,25,6,3,227
"Vinnith Ramamurti",8,430,4,17,"N",0,"Lose","Y","Victor Gwee",435,-5,2,1,0,0,0,2,"N",9,39,5,3,217
"Jocelyn Lor",8,347,9,18,"N",1,"Win","Y","Yong Jian Rong",315,32,1,1,0,0,1,4,"N",7,18,7,1,81
"Tan Jin Chor",8,317,8,19,"N",0,"Lose","Y","Michael Tang",493,-176,0,1,1,0,0,1,"N",8,7,3,1,67
"Alex Tan",8,416,6,20,"N",1,"Win","Y","Ricky Purnomo",402,14,2,1,1,0,1,4,"N",5,0,9,2,143
"Hubert Wee",9,455,12,1,"N",1,"Win","Y","Aaron Chong",304,151,2,0,1,1,0,3,"N",3,31,7,3,249
"Marlon Prudencio",9,315,11,2,"N",0,"Lose","Y","Nigel Richards",513,-198,0,1,1,0,1,0,"N",7,7,3,0,0
"Wong Zhi Yuan",9,467,14,3,"N",1,"Win","Y","Yeo Kian Hung",413,54,2,0,1,0,1,1,"N",5,45,5,2,212
"Victor Gwee",9,367,13,4,"N",0,"Lose","Y","Vannitha Balasingam",451,-84,1,1,0,0,1,2,"N",4,9,5,1,61
"Tony Sim",9,429,16,5,"N",1,"Win","Y","Martin Teo",405,24,2,1,1,1,0,0,"N",1,13,5,1,91
"Ricky Purnomo",9,435,15,6,"N",1,"Win","Y","William Kang",367,68,2,1,0,0,0,1,"N",5,38,4,2,169
"Victor Chua",9,460,18,7,"N",1,"Win","Y","Jocelyn Lor",320,140,2,1,0,1,1,3,"N",11,10,8,3,228
"Michael Tang",9,433,17,8,"N",1,"Win","Y","Vinnith Ramamurti",394,39,1,0,0,0,1,1,"N",1,37,3,1,72
"Yong Jian Rong",9,379,20,9,"N",0,"Lose","Y","Alex Tan",391,-12,0,0,0,0,1,1,"N",11,33,2,1,80
"Shim Yen Nee",9,345,19,10,"N",0,"Lose","Y","Tan Jin Chor",358,-13,0,0,1,0,0,2,"N",1,50,3,0,0
"Nigel Richards",9,513,2,11,"N",1,"Win","N","Marlon Prudencio",315,198,2,0,0,1,0,4,"N",11,3,7,3,218
"Aaron Chong",9,304,1,12,"N",0,"Lose","N","Hubert Wee",455,-151,0,1,0,0,1,1,"N",5,34,3,0,0
"Vannitha Balasingam",9,451,4,13,"N",1,"Win","N","Victor Gwee",367,84,1,0,1,1,0,2,"N",0,41,5,2,171
"Yeo Kian Hung",9,413,3,14,"N",0,"Lose","N","Wong Zhi Yuan",467,-54,0,1,0,1,0,3,"N",14,40,5,2,150
"William Kang",9,367,6,15,"N",0,"Lose","N","Ricky Purnomo",435,-68,0,0,1,1,1,3,"N",13,54,6,0,0
"Martin Teo",9,405,5,16,"N",0,"Lose","N","Tony Sim",429,-24,0,0,0,0,1,4,"N",7,24,5,2,136
"Vinnith Ramamurti",9,394,8,17,"N",0,"Lose","N","Michael Tang",433,-39,1,1,1,1,0,3,"N",0,7,7,3,229
"Jocelyn Lor",9,320,7,18,"N",0,"Lose","N","Victor Chua",460,-140,0,0,1,0,0,1,"N",7,45,2,0,0
"Tan Jin Chor",9,358,10,19,"N",1,"Win","N","Shim Yen Nee",345,13,2,1,0,1,1,2,"N",2,0,7,0,0
